dateid,day,month,year,dayofweek,dayofyear
1974,11,10,2006,3,284
1975,2,9,2013,1,245
1976,8,12,2015,2,342
1977,19,9,2008,5,263
1978,2,5,2014,5,122
1979,18,3,2016,5,78
1980,4,8,2018,6,216
1981,6,12,2016,2,341
1982,15,1,2013,2,15
1983,13,9,2013,5,256
1984,28,4,2011,4,118
1985,16,7,2014,3,197
1986,3,8,2015,1,215
1987,4,7,2017,2,185
1988,6,6,2016,1,158
1989,2,8,2013,5,214
1990,16,8,2011,2,228
1991,31,3,2015,2,90
1992,21,4,2009,2,111
1993,10,7,2018,2,191
1994,8,7,2008,2,190
1995,28,2,2016,0,59
1996,21,12,2015,1,355
1997,24,7,2015,5,205
1998,26,9,2013,4,269
1999,2,4,2009,4,92
2000,21,5,2014,3,141
2001,20,6,2011,1,171
2002,30,7,2018,1,211
2003,8,1,2019,2,8
2004,26,3,2009,4,85
2005,27,5,2014,2,147
2006,1,3,2019,5,60
2007,4,8,2010,3,216
2008,5,11,2010,5,309
2009,25,8,2009,2,237
2010,26,11,2013,2,330
2011,31,8,2011,3,243
2012,31,5,2018,4,151
2013,16,2,2019,6,47
2014,20,8,2012,1,233
2015,25,4,2019,4,115
2016,30,4,2016,6,121
2017,6,11,2014,4,310
2018,3,9,2016,6,247
2019,5,2,2017,0,36
2020,5,5,2009,2,125
2021,7,10,2010,4,280
2022,23,12,2009,3,357
2023,3,1,2019,4,3
2024,21,1,2015,3,21
2025,7,8,2018,2,219
2026,18,11,2009,3,322
2027,15,10,2010,5,288
2028,16,1,2012,1,16
2029,9,8,2017,3,221
2030,6,10,2017,5,279
2031,13,12,2017,3,347
2032,10,3,2017,5,69
2033,19,3,2013,2,78
2034,8,8,2012,3,221
2035,24,6,2010,4,175
2036,9,9,2016,5,253
2037,16,10,2006,1,289
2038,27,8,2014,3,239
2039,1,4,1999,4,91
2040,23,8,2017,3,235
2041,3,8,2017,4,215
2042,12,12,2017,2,346
2043,24,6,2016,5,176
2044,24,8,2011,3,236
2045,18,9,2014,4,261
2046,26,3,2014,3,85
2047,5,1,2018,5,5
2048,26,9,2017,2,269
2049,29,1,2014,3,29
2050,7,7,2014,1,188
2051,6,4,2012,5,97
2052,3,6,2014,2,154
2053,18,6,2018,1,169
2054,23,7,2014,3,204
2055,13,1,2016,3,13
2056,8,6,2011,3,159
2057,21,5,2017,0,141
2058,18,11,2014,2,322
2059,26,4,2019,5,116
2060,7,1,2017,6,7
2061,9,7,2008,3,191
2062,21,9,2018,5,264
2063,7,9,2018,5,250
2064,5,10,2015,1,278
2065,16,11,2016,3,321
2066,18,11,2011,5,322
2067,15,3,2001,4,74
2068,17,7,2017,1,198
2069,28,8,2002,3,240
2070,15,11,2017,3,319
2071,14,7,2005,4,195
2072,12,5,2018,6,132
2073,7,12,2011,3,341
2074,12,12,2008,5,347
2075,25,11,2009,3,329
2076,20,7,2016,3,202
2077,16,9,2009,3,259
2078,25,5,2015,1,145
2079,4,4,2011,1,94
2080,4,9,2018,2,247
2081,29,6,2018,5,180
2082,12,1,2019,6,12
2083,23,8,2018,4,235
2084,22,1,2009,4,22
2085,22,1,2014,3,22
2086,4,11,2013,1,308
2087,8,7,2014,2,189
2088,26,4,2017,3,116
2089,10,7,2012,2,192
2090,25,4,2012,3,116
2091,24,2,2018,6,55
2092,28,7,2017,5,209
2093,6,9,2010,1,249
2094,24,11,2009,2,328
2095,14,7,2010,3,195
2096,25,9,2008,4,269
2097,18,8,2018,6,230
2098,28,9,2015,1,271
2099,12,3,2008,3,72
2100,17,7,2018,2,198
2101,17,2,2018,6,48
2102,26,1,2017,4,26
2103,15,5,2014,4,135
2104,16,9,2018,0,259
2105,25,7,2013,4,206
2106,5,3,2014,3,64
2107,27,6,2014,5,178
2108,12,11,2016,6,317
2109,8,11,1998,0,312
2110,20,5,2018,0,140
2111,14,9,2018,5,257
2112,4,9,2009,5,247
2113,6,10,2018,6,279
2114,11,2,2019,1,42
2115,30,4,2015,4,120
2116,23,2,2018,5,54
2117,13,6,2016,1,165
2118,20,7,2015,1,201
2119,9,4,2012,1,100
2120,1,8,2017,2,213
2121,3,12,2012,1,338
2122,25,1,2018,4,25
2123,2,3,2011,3,61
2124,16,12,2016,5,351
2125,28,3,2013,4,87
2126,6,7,2009,1,187
2127,10,4,2017,1,100
2128,28,2,2018,3,59
2129,24,3,2017,5,83
2130,13,8,2012,1,226
2131,20,6,2012,3,172
2132,27,10,2016,4,301
2133,7,6,2016,2,159
2134,19,3,2016,6,79
2135,29,4,2014,2,119
2136,4,11,2018,0,308
2137,3,9,2017,0,246
2138,29,2,2016,1,60
2139,29,5,2015,5,149
2140,28,1,2009,3,28
2141,21,9,2007,5,264
2142,20,3,2012,2,80
2143,11,11,2009,3,315
2144,26,10,2016,3,300
2145,18,12,2008,4,353
2146,10,4,2013,3,100
2147,1,7,2003,2,182
2148,3,4,2018,2,93
2149,31,10,2014,5,304
2150,12,4,2010,1,102
2151,15,6,2015,1,166
