developerid,name,city,administrativedivision,country,founding_year
18279,Triple Distilled Games,,,,
18280,Tapinator,,,,
18281,Black Poodle Entertainment,,,,
18282,LinQ,,,,
18283,Calvares,,,,
18284,Talawa Games,,,,
18285,IronDrop Studios,,,,
18286,Brain Seal Ltd,,,,
18287,Cascade Game Foundry SPC,,,,
18288,Sony Computer Entertainment America,,,,
18289,EasyGameStation,,,,
18290,2 Zombie Games,,,,
18291,Game Freak,Tokyo,,Japan,1989
18292,Ignat Cherkashin,,,,
18293,The Tambourine,,,,
18294,VRUnicorns,,,,
18295,Witan Game Production House,,,,
18296,Bae Team,,,,
18297,Mozg Labs,,,,
18298,Yima VLG.,,,,
18299,Easy Game Studio,,,,
18300,Koala Squad,,,,
18301,Piranha Games,Vancouver,British Columbia,Canada,2000
18302,Trilobyte Games,,,,
18303,Whitefishgames,,,,
18304,AIHASTO,,,,
18305,天河(TH Game),,,,
18306,Svution,,,,
18307,Invictus Games Ltd.,,,,
18308,Jolly Crouton Media Ltd.,,,,
18309,Artnumeris,,,,
18310,"Horizon's End, Inc.",,,,
18311,"Pixel Barrage Entertainment, Inc.",,,,
18312,Thatgamecompany,Santa Monica,California,United States,2006
18313,Hearty Robin,,,,
18314,ChillX Ltd,,,,
18315,UglyCake Games,,,,
18316,TawStudio Entertainment,,,,
18317,Studio 1983,,,,
18318,In Vitro Games,,,,
18319,SOFF Games,,,,
18320,Forge Reply S.r.l.,,,,
18321,Shanghai Lusion Computer Software Co. Ltd.,,,,
18322,Rock Cow Productions,,,,
18323,Single Step Games,,,,
18324,Thomas LEMANISSIER,,,,
18325,Dagger Games,,,,
