developerid,name,city,administrativedivision,country,founding_year
430,Outrage Entertainment,Ann Arbor,Michigan,United States,1996
431,Overkill Software,Stockholm,,Sweden,2009
432,Oxygen Studios,Croydon,England,United Kingdom,2006
433,Page 44 Studios,San Francisco,California,United States,1998
434,Pangea Software,Austin,Texas,United States,1987
435,People Can Fly,Warsaw,,Poland,2002
436,Project Sora,Tokyo,,Japan,2009
437,Purple Lamp Studios,Vienna,,Austria,2018
438,Papaya Studio,Irvine,California,United States,1999
439,Project Soul,Tokyo,,Japan,1996
440,Panther Games Pty Ltd,Canberra,,Australia,1985
441,Paradox Development Studio,Stockholm,,Sweden,1995
442,Parallax Software,Ann Arbor,Michigan,United States,1993
443,Pandemic Studios,Los Angeles,California,United States,1998
444,Pendulo Studios,Madrid,,Spain,1993
445,Penguin Software,Geneva,Illinois,United States,1978
446,Perfect World,Beijing,,China,2004
447,Petroglyph,Las Vegas,Nevada,United States,2003
448,Phantagram,Seoul,,South Korea,1994
449,Phenomic Game Development,Ingelheim am Rhein,,Germany,1997
450,Pipeworks Studios,Eugene,Oregon,United States,1999
451,Piranha Bytes,Essen,,Germany,1997
452,Piranha Games,Vancouver,British Columbia,Canada,2000
453,Pi Studios,Houston,Texas,United States,2002
454,Pivotal Games,Bath,England,United Kingdom,2000
455,Pixel Federation,Bratislava,,Slovakia,2007
456,Playdom,San Francisco,California,United States,2009
457,Playfish,London,England,United Kingdom,2007
458,PlayFirst,San Francisco,California,United States,2004
459,Playground Games,Royal Leamington Spa,England,United Kingdom,2009
460,PlatinumGames,Osaka,,Japan,2006
461,Polyphony Digital,Tokyo,,Japan,1998
462,PopCap Games,Seattle,Washington,United States,2000
463,Press Play,Copenhagen,,Denmark,2006
464,Psyonix,San Diego,California,United States,2001
465,Punch Entertainment,Hanoi,,Vietnam,2005
466,Pyro Mobile,Madrid,,Spain,1996
467,Q Entertainment,Tokyo,,Japan,2003
468,Q-Games,Nakagyō-ku,,Japan,2001
469,Quantic Dream,Paris,,France,1997
470,Quest Corporation,Tokyo,,Japan,1988
471,Radical Entertainment,Vancouver,,Canada,1991
472,Rage Games,Liverpool,England,United Kingdom,1992
473,Rainbow Studios,Phoenix,Arizona,United States,1996
474,Rare,Twycross,England,United Kingdom,1985
475,Raven Software,Middleton,Wisconsin,United States,1990
476,Ready at Dawn,Irvine,California,United States,2003
477,Red Entertainment,Tokyo,,Japan,1976
478,Reality Pump Studios,Kraków,,Poland,1995
479,Realtime Associates,Los Angeles,California,United States,1986
480,Realtime Worlds,Dundee,Scotland,United Kingdom,2002
481,Rebellion Developments,Oxford,England,United Kingdom,1992
482,Rebellion Warwick,Leamington Spa,England,United Kingdom,2013
483,RedLynx,Helsinki,,Finland,2000
484,Red Thread Games,Oslo,,Norway,2012
